question,answer_llm,answer_orig,document
How do I join the office hours or live workshop if I’m a student—do I need the Zoom link?,"No—you don’t need the Zoom link as a student.

Students join office hours/live workshop sessions via **YouTube Live**, and the **Slido link** for questions is pinned in the chat when the session is live. The video URL is also posted in the **announcements channel on Telegram and Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where do they usually post the stream link before an office hours session starts?,They usually post the stream/video link in the **announcements channel on Telegram and Slack** before the session starts.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If students can’t use Zoom for the live sessions, what’s the normal way to watch and ask questions?","Students normally watch the live sessions on **YouTube Live** and ask questions via **Slido**. The **video link** is posted in the **announcements channel on Telegram and Slack** before the session starts, and you can also watch on the **DataTalksClub YouTube channel**. Don’t use chat for questions, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I just ask my question in the live chat during office hours, or is there a better place to send it?","Yes — the better place is **Slack**. The course guidance says that if you’re stuck, you should **ask your question in Slack** and follow the asking questions guidelines. Also, **don’t post questions in the live chat**, because they may be missed if the room is active.

If you want, I can also point you to the asking-questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the YouTube stream for workshops available somewhere official, like the course Telegram, Slack, or DataTalksClub channel?","Yes — the official places mentioned are the course Telegram and Slack channels. The workshop/office-hours video URL should be posted in the announcements channel on Telegram and Slack before it starts, and you can also watch it live on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do I begin if I want to follow the course properly, and what should I check first?","Begin with these three things:

1. The **LLM Zoomcamp docs**
2. The **general Zoomcamp logistics docs**
3. The **LLM Zoomcamp GitHub repository**

Then follow the usual workflow:

- watch the lesson videos
- work through the lesson notebooks/code
- read the homework instructions on GitHub
- submit answers on the course platform before the deadline

If you mean homework specifically, **check the GitHub homework instructions first**, not only the course platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual week-by-week routine for this course after watching the videos?,"The usual workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers on the course platform before the deadline.

Homework usually follows the lesson structure, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to start on a fixed date, or can I join whenever I want?","You can join whenever you want. The course materials are available, and there isn’t a fixed start date you must follow.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"After the lesson materials, how do I handle homework and where do I submit it?","Use the **GitHub homework instructions first**, since they often include important extra context, and then use the **course management platform** for **submission and deadlines**.

For Module 1, start here:
- [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
- [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

If anything is unclear, ask in Slack and include code/output as text, not a screenshot.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it change a bit?","It usually follows the lesson workflow, but it can change a bit. The homework often uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I can’t find myself on the leaderboard — how do I locate my row?,"Click the **“Jump to your record on the leaderboard”** link — your account was given a random display name automatically, so that link will take you to your row.

If you want to see your display name, use **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why does the leaderboard show a random name for me, and can I change it?","The leaderboard shows a random display name because your account is automatically assigned one when you set it up.

Yes, you can change it:
- Open **Edit Course Profile**
- Change the **first field** to your preferred public nickname/display name
- If you want the name on your certificate to be different, update the **second field** with your official name

The public leaderboard uses the display name, while the certificate uses the official name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my display name is in the course profile?,Click **“Edit Course Profile”**. Your **display name** is shown in the **first field** there.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want a different nickname instead of the default one, which profile field should I edit?",Edit the **first field** in **Edit Course Profile** — that field is your **nickname/display name** for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"What name will appear on my certificate, and do I need to set it somewhere special?","The name printed on your certificate is the **official name you enter in “Edit Course Profile”** — specifically, the **second field**.

You don’t need to set it anywhere special, just there.  
The **first field** is for your public nickname/display name on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I do this course on my own schedule and still get a certificate, or is it only for the live cohort?","No — you can follow the course in self-paced mode, but you **won’t get a certificate** that way. Certificates are only awarded if you finish the course with a **live cohort**, because you need to complete the peer-review process for capstone projects while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I take the self-paced version, will I still be able to earn the course certificate at the end?",No. You can only get a certificate if you finish the course with a live cohort; the self-paced mode does not award certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why doesn’t the course give certificates to people who study it in self-paced mode?,"The course doesn’t give certificates for self-paced mode because a certificate requires completing peer review of 3 capstone projects, and that only happens while a live cohort is running. After the course is over, the peer-review list is closed, so self-paced participants can’t do that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to participate in the live run to be able to peer-review projects and qualify for certification?,"Yes. To qualify for certification, you need to be in the live cohort, because you must peer-review 3 capstone projects after you submit yours. Peer-reviewing is only possible while the course is running; once the form closes and the peer-review list is compiled, you can’t do it anymore.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is it possible to get credit for peer-reviewing capstone projects after the course submissions are already closed?,"No. You can only peer-review projects while the course is running, after the project list has been released. Once the submission form is closed, you can no longer review projects, so you can’t get credit for peer-reviewing after that.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I missed the first homework, can I still get the certificate?","Yes — missing the first homework won’t prevent you from getting the certificate. You only need to pass the Capstone project, and homework is not mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I need to do all the homework to get certified in the course?,"No. Homework is not mandatory to get the certificate. You need to pass the Capstone project to get certified, though homework is recommended for practice.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is the Capstone project the only thing required for the certificate?,"No. The capstone is required, but it’s not the only thing.

To get the certificate, you must:
- pass the capstone project, and
- complete the peer-review requirement by reviewing 3 fellow students’ capstones.

Homework is not mandatory for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Are homework assignments mandatory or just recommended?,"Homework assignments are **not mandatory** — they’re **recommended** for reinforcing concepts and they count toward your **leaderboard rank**. To get the certificate, you only need to **pass the Capstone project**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do homework points affect the certificate, or only the leaderboard ranking?","Homework points do **not** affect the certificate. You only need to **pass the Capstone project** to get the certificate.

Homework is **not mandatory**; it only counts toward your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing while I'm working on it?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet, so the content can still change while you’re working on it.

The homework is only considered ready when both are true:
- the homework form is open on the course management platform
- the homework title does **not** contain `[DRAFT]`

Until then, working on it in advance is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework assignment is actually ready or still a draft?,"A homework assignment is ready only when **both** are true:

- The homework form is open on the course management platform.
- The homework title **does not** contain **`[DRAFT]`**.

If the title has **`[DRAFT]`**, it’s still a draft and may change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does the [DRAFT] tag in the homework title mean?,"The `[DRAFT]` tag means the homework is not ready yet. Until the homework form is open and the title no longer contains `[DRAFT]`, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Can I start the homework before it's officially open, or is that risky?","Yes, you can start working on it early, but it’s risky.

The homework is considered ready only when both are true:
- the homework form is open on the course platform, and
- the homework title does not contain `[DRAFT]`.

Until then, the content can still change, so anything you do before it’s officially open is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the final version of a homework considered stable enough to do?,"The final version is considered stable enough to do only when **both** are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

Until then, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be available?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the course is offered again next?,Summer 2027.,Summer 2027.,bd31146b0e
What's the next start period for this course?,The next course offering is **Summer 2027**.,Summer 2027.,bd31146b0e
When can I expect this course to run again?,I don't know.,Summer 2027.,bd31146b0e
"Is there a scheduled next offering for the course, and if so when?",Yes — the next offering is scheduled for **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo — each lesson page has the relevant videos linked at the top. If you’re unsure, start with the GitHub repo first, since it’s usually kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place to start if I want to watch the lessons?,"Yes — the main entry point is the **LLM Zoomcamp GitHub repository**.

Open the lesson folders there; each lesson page has the relevant videos linked at the top. When in doubt, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson pages include the video links somewhere, or do I need to search YouTube?","Yes — the lesson/video URL should be posted in the announcements channel on Telegram and Slack before the session begins, and you can also watch live on the DataTalksClub YouTube channel. So you don’t need to search YouTube yourself.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest lectures?,Use the GitHub repo first. It’s the main entry point and is easier to keep updated than the YouTube playlist.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I locate the videos for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: open the **lesson folders**, and on each lesson page the **relevant videos are linked at the top**.

If you’re unsure, start from the GitHub repo first—it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What platform should I use to follow the LLM Zoomcamp syllabus and deadlines?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It has the syllabus, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Where can I see the homework, progress, and cohort structure for LLM Zoomcamp?","You can see the homework, progress, and cohort structure on the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course management site for tracking LLM Zoomcamp updates and assignments?,"Yes — use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the syllabus, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I keep track of deadlines and homework in this zoomcamp?,"Use the **LLM Zoomcamp course management platform** to track your **deadlines, homework, and progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

You should also check the **GitHub repo** for homework instructions, since it often has extra context.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Which website has the current LLM Zoomcamp schedule and progress tracker?,"The current LLM Zoomcamp schedule and progress tracker are on the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does each module have its own live class or office hour, or is everything just prerecorded?","There are **no separate live sessions or office hours for each module by default**. The module materials are **pre-recorded** and available in the course repo.

Live sessions do happen, but they’re **announced separately when scheduled**. If you need help in the meantime, you can ask in **Slack** following the questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Where do I ask questions if I get stuck on a lesson, since there isn't a live session every week?",Ask in Slack and follow the asking questions guidelines.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"How are live meetings for the course announced, and are they part of every module?","Live meetings are announced separately when they happen, rather than being part of every module by default. The course modules themselves are pre-recorded and available in the course repo.

If you’re waiting for a live session, check the announcements channel on Telegram or Slack, or follow the course repo updates.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any extra paid support with regular Zoom office hours for this course?,"Yes. Optional extra support is available through **AI Shipping Labs**, which is a **paid community** that includes **regular Zoom office hours** and additional structure. The main DataTalks.Club course content itself remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Are the course materials available somewhere upfront if there are no separate sessions for each module?,"Yes — the module materials are pre-recorded and available in the course repository upfront. You can find them in the relevant lesson folders in the GitHub repo, and each lesson page has the related videos linked at the top.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
